Material,energy,intensity
Mo,19.25,2.4205091575609754
Mo,19.5,8.006987403414636
Mo,19.75,6.712599187560975
Mo,20.0,2.626885777560976
Mo,20.25,1.9303031019512187
Mo,20.5,1.5853660012195125
Mo,20.75,1.64403933575
Mo,21.0,1.5744611745000001
Mo,21.25,1.53309116475
Mo,21.5,1.4809528610000002
Mo,21.75,1.446501649975
Mo,22.0,1.4157998937249996
Mo,22.25,1.4008142423076921
Mo,22.5,1.3341723284615385
Mo,22.75,1.2915996338461542
Mo,23.0,1.2533491133333332
Mo,23.25,1.2313251126315787
Mo,23.5,1.2047654568421053
Mo,23.75,1.1612187302631576
Mo,24.0,1.1583670843243243
Mo,24.25,1.1476469530555553
Mo,24.5,1.1072460119444445
Mo,24.75,1.0853362980555559
Mo,25.0,1.0742176571428572
Mo,25.25,1.0345593465714285
Mo,25.5,0.9965275617142859
Mo,25.75,0.9651084308571429
Mo,26.0,0.9576116026470587
Mo,26.25,0.9237680573529413
Mo,26.5,0.8956949420588235
Mo,26.75,0.8932004618181818
Mo,27.0,0.8574992099999998
Mo,27.25,0.8369112651515153
Mo,27.5,0.8035504815151515
Mo,27.75,0.8578281163333334
Mo,28.0,0.8527803355172414
Mo,28.25,0.8240598893103448
Mo,28.5,0.7983822582758621
Mo,28.75,0.8150874955555554
Mo,29.0,0.8009687651851853
Mo,29.25,0.7888207319230769
Mo,29.5,0.7976688967999999
Mo,29.75,0.8045623900000001
Mo,30.0,0.7777906254166665
Mo,30.25,0.7471064
Mo,30.5,0.7517793656521737
Mo,30.75,0.7601092268181818
Mo,31.0,0.7237499281818182
Mo,31.25,0.7113590877272726
Mo,31.5,0.6748832363636361
Mo,31.75,0.6915146380952382
Mo,32.0,0.6599970533333333
Mo,32.25,0.6388663390380951
Mo,32.5,0.6022644914285713
Mo,32.75,0.6280507349999999
Mo,33.0,0.5880223835000001
Mo,33.25,0.5717075555
Mo,33.5,0.584435717368421
Mo,33.75,0.5545830484210527
Mo,34.0,0.5399288863157895
Mo,34.25,0.5130497393157896
Mo,34.5,0.523519385
Mo,34.75,0.5016841649999999
Mo,35.0,0.4889725711111111
Mo,35.25,0.46219648388888884
Mo,35.5,0.4632838429411765
Mo,35.75,0.4532565082352942
Mo,36.0,0.4272915870588236
Mo,36.25,0.4170312162201171
Mo,36.5,0.42053561000000006
Mo,36.75,0.4007762859375
Mo,37.0,0.38601113500000006
Mo,37.25,0.368237303125
Mo,37.5,0.3770925506666666
Mo,37.75,0.35464531266666666
Mo,38.0,0.34112772
Mo,38.25,0.32480420786666664
Mo,38.5,0.33300807928571435
Mo,38.75,0.31752554621428575
Mo,39.0,0.29723428500000004
Mo,39.25,0.2917335857142857
Mo,39.5,0.2869939276923077
Mo,39.75,0.2846922746153846
Mo,40.0,0.25519088076923074
Mo,40.25,0.27586238333333335
Mo,40.5,0.25317516500000004
Mo,40.75,0.24579867916666667
Mo,41.0,0.22830384583333338
Mo,41.25,0.23434855272727273
Mo,41.5,0.22197234454545453
Mo,41.75,0.20668931545454547
Mo,42.0,0.1979528981818182
Mo,42.25,0.20057786699999997
Mo,42.5,0.18854056371
Mo,42.75,0.17926433400000003
Mo,43.0,0.16201268900000002
Mo,43.25,0.17262836555555555
Mo,43.5,0.15962104777777777
Mo,43.75,0.14816063777777777
Mo,44.0,0.13473488766666664
Mo,44.25,0.14149585375
Mo,44.5,0.13213101475
Mo,44.75,0.11764631625000001
Mo,45.0,0.10796682725
Mo,45.25,0.11371609571428569
Mo,45.5,0.101588503
Mo,45.75,0.09713806857142858
